reg_date,vehicle_category,manufacturer,count,registrations,Year,Quarter
2025-01-01,Andhra Pradesh,2W,0.0,13091,2025,2025Q1
2025-01-01,Arunachal Pradesh,2W,0.0,6861,2025,2025Q1
2025-01-01,Assam,4W,0.0,6831,2025,2025Q1
2025-01-01,Bihar,3W,0.0,12405,2025,2025Q1
2025-01-01,Chhattisgarh,2W,0.0,4382,2025,2025Q1
2025-01-01,Goa,3W,0.0,17720,2025,2025Q1
2025-01-01,Gujarat,3W,0.0,10142,2025,2025Q1
2025-01-01,Haryana,3W,0.0,5472,2025,2025Q1
2025-01-01,Himachal Pradesh,3W,0.0,4464,2025,2025Q1
2025-01-01,Jharkhand,4W,0.0,15617,2025,2025Q1
2025-01-01,Karnataka,4W,0.0,4500,2025,2025Q1
2025-01-01,Kerala,2W,0.0,11310,2025,2025Q1
2025-01-01,Madhya Pradesh,4W,0.0,5945,2025,2025Q1
2025-01-01,Maharashtra,4W,0.0,11244,2025,2025Q1
2025-01-01,Manipur,2W,0.0,11663,2025,2025Q1
2025-01-01,Meghalaya,3W,0.0,6366,2025,2025Q1
2025-01-01,Mizoram,3W,0.0,2196,2025,2025Q1
2025-01-01,Nagaland,4W,0.0,9541,2025,2025Q1
2025-01-01,Odisha,4W,0.0,2509,2025,2025Q1
2025-01-01,Punjab,4W,0.0,11604,2025,2025Q1
2025-01-01,Rajasthan,3W,0.0,8658,2025,2025Q1
2025-01-01,Sikkim,3W,0.0,4789,2025,2025Q1
2025-01-01,Tamil Nadu,4W,0.0,10733,2025,2025Q1
2025-01-01,Telangana,3W,0.0,3387,2025,2025Q1
2025-01-01,Tripura,3W,0.0,7780,2025,2025Q1
2025-01-01,Uttar Pradesh,2W,0.0,8850,2025,2025Q1
2025-01-01,Uttarakhand,2W,0.0,2968,2025,2025Q1
2025-01-01,West Bengal,3W,0.0,7904,2025,2025Q1
2025-01-01,Delhi,2W,0.0,13135,2025,2025Q1
2025-01-01,Jammu and Kashmir,4W,0.0,6564,2025,2025Q1
2025-01-01,Ladakh,4W,0.0,15265,2025,2025Q1
2025-01-01,Puducherry,3W,0.0,13847,2025,2025Q1
2025-01-02,Andhra Pradesh,3W,0.0,5187,2025,2025Q1
2025-01-02,Arunachal Pradesh,3W,0.0,15525,2025,2025Q1
2025-01-02,Assam,3W,0.0,10450,2025,2025Q1
2025-01-02,Bihar,4W,0.0,9259,2025,2025Q1
2025-01-02,Chhattisgarh,3W,0.0,11206,2025,2025Q1
2025-01-02,Goa,2W,0.0,3202,2025,2025Q1
2025-01-02,Gujarat,3W,0.0,3984,2025,2025Q1
2025-01-02,Haryana,2W,0.0,10117,2025,2025Q1
2025-01-02,Himachal Pradesh,2W,0.0,11991,2025,2025Q1
2025-01-02,Jharkhand,4W,0.0,12404,2025,2025Q1
2025-01-02,Karnataka,2W,0.0,16598,2025,2025Q1
2025-01-02,Kerala,4W,0.0,15007,2025,2025Q1
2025-01-02,Madhya Pradesh,4W,0.0,17844,2025,2025Q1
2025-01-02,Maharashtra,4W,0.0,6765,2025,2025Q1
2025-01-02,Manipur,3W,0.0,9619,2025,2025Q1
2025-01-02,Meghalaya,2W,0.0,13875,2025,2025Q1
2025-01-02,Mizoram,2W,0.0,6982,2025,2025Q1
2025-01-02,Nagaland,2W,0.0,9293,2025,2025Q1
2025-01-02,Odisha,4W,0.0,18985,2025,2025Q1
2025-01-02,Punjab,2W,0.0,11367,2025,2025Q1
2025-01-02,Rajasthan,3W,0.0,11073,2025,2025Q1
2025-01-02,Sikkim,4W,0.0,9937,2025,2025Q1
2025-01-02,Tamil Nadu,4W,0.0,17186,2025,2025Q1
2025-01-02,Telangana,4W,0.0,9228,2025,2025Q1
2025-01-02,Tripura,3W,0.0,15878,2025,2025Q1
2025-01-02,Uttar Pradesh,2W,0.0,6025,2025,2025Q1
2025-01-02,Uttarakhand,2W,0.0,13154,2025,2025Q1
2025-01-02,West Bengal,2W,0.0,9037,2025,2025Q1
2025-01-02,Delhi,2W,0.0,9829,2025,2025Q1
2025-01-02,Jammu and Kashmir,4W,0.0,15913,2025,2025Q1
2025-01-02,Ladakh,4W,0.0,15023,2025,2025Q1
2025-01-02,Puducherry,3W,0.0,12940,2025,2025Q1
2025-01-03,Andhra Pradesh,4W,0.0,8826,2025,2025Q1
2025-01-03,Arunachal Pradesh,4W,0.0,16184,2025,2025Q1
2025-01-03,Assam,2W,0.0,14972,2025,2025Q1
2025-01-03,Bihar,2W,0.0,5924,2025,2025Q1
2025-01-03,Chhattisgarh,3W,0.0,8001,2025,2025Q1
2025-01-03,Goa,4W,0.0,11261,2025,2025Q1
2025-01-03,Gujarat,3W,0.0,18439,2025,2025Q1
2025-01-03,Haryana,2W,0.0,11118,2025,2025Q1
2025-01-03,Himachal Pradesh,2W,0.0,17894,2025,2025Q1
2025-01-03,Jharkhand,4W,0.0,5404,2025,2025Q1
2025-01-03,Karnataka,3W,0.0,5500,2025,2025Q1
2025-01-03,Kerala,2W,0.0,17497,2025,2025Q1
2025-01-03,Madhya Pradesh,3W,0.0,19306,2025,2025Q1
2025-01-03,Maharashtra,2W,0.0,15740,2025,2025Q1
2025-01-03,Manipur,4W,0.0,13726,2025,2025Q1
2025-01-03,Meghalaya,3W,0.0,18265,2025,2025Q1
2025-01-03,Mizoram,2W,0.0,3018,2025,2025Q1
2025-01-03,Nagaland,3W,0.0,8999,2025,2025Q1
2025-01-03,Odisha,2W,0.0,6793,2025,2025Q1
2025-01-03,Punjab,4W,0.0,4086,2025,2025Q1
2025-01-03,Rajasthan,3W,0.0,14069,2025,2025Q1
