reg_date,state,vehicle_category,manufacturer,registrations
2025-01-01,Andhra Pradesh,2W,BrandA,13091
2025-01-01,Arunachal Pradesh,2W,BrandE,6861
2025-01-01,Assam,4W,BrandQ,6831
2025-01-01,Bihar,3W,BrandL,12405
2025-01-01,Chhattisgarh,2W,BrandI,4382
2025-01-01,Goa,3W,BrandG,17720
2025-01-01,Gujarat,3W,BrandI,10142
2025-01-01,Haryana,3W,BrandK,5472
2025-01-01,Himachal Pradesh,3W,BrandR,4464
2025-01-01,Jharkhand,4W,BrandB,15617
2025-01-01,Karnataka,4W,BrandU,4500
2025-01-01,Kerala,2W,BrandE,11310
2025-01-01,Madhya Pradesh,4W,BrandS,5945
2025-01-01,Maharashtra,4W,BrandI,11244
2025-01-01,Manipur,2W,BrandX,11663
2025-01-01,Meghalaya,3W,BrandG,6366
2025-01-01,Mizoram,3W,BrandA,2196
2025-01-01,Nagaland,4W,BrandI,9541
2025-01-01,Odisha,4W,BrandZ,2509
2025-01-01,Punjab,4W,BrandA,11604
2025-01-01,Rajasthan,3W,BrandL,8658
2025-01-01,Sikkim,3W,BrandQ,4789
2025-01-01,Tamil Nadu,4W,BrandO,10733
2025-01-01,Telangana,3W,BrandU,3387
2025-01-01,Tripura,3W,BrandB,7780
2025-01-01,Uttar Pradesh,2W,BrandE,8850
2025-01-01,Uttarakhand,2W,BrandF,2968
2025-01-01,West Bengal,3W,BrandA,7904
2025-01-01,Delhi,2W,BrandM,13135
2025-01-01,Jammu and Kashmir,4W,BrandH,6564
2025-01-01,Ladakh,4W,BrandI,15265
2025-01-01,Puducherry,3W,BrandQ,13847
2025-01-02,Andhra Pradesh,3W,BrandZ,5187
2025-01-02,Arunachal Pradesh,3W,BrandM,15525
2025-01-02,Assam,3W,BrandO,10450
2025-01-02,Bihar,4W,BrandN,9259
2025-01-02,Chhattisgarh,3W,BrandE,11206
2025-01-02,Goa,2W,BrandN,3202
2025-01-02,Gujarat,3W,BrandP,3984
2025-01-02,Haryana,2W,BrandL,10117
2025-01-02,Himachal Pradesh,2W,BrandM,11991
2025-01-02,Jharkhand,4W,BrandW,12404
2025-01-02,Karnataka,2W,BrandR,16598
2025-01-02,Kerala,4W,BrandZ,15007
2025-01-02,Madhya Pradesh,4W,BrandH,17844
2025-01-02,Maharashtra,4W,BrandL,6765
2025-01-02,Manipur,3W,BrandM,9619
2025-01-02,Meghalaya,2W,BrandI,13875
2025-01-02,Mizoram,2W,BrandJ,6982
2025-01-02,Nagaland,2W,BrandO,9293
2025-01-02,Odisha,4W,BrandD,18985
2025-01-02,Punjab,2W,BrandP,11367
2025-01-02,Rajasthan,3W,BrandE,11073
2025-01-02,Sikkim,4W,BrandN,9937
2025-01-02,Tamil Nadu,4W,BrandD,17186
2025-01-02,Telangana,4W,BrandR,9228
2025-01-02,Tripura,3W,BrandE,15878
2025-01-02,Uttar Pradesh,2W,BrandW,6025
2025-01-02,Uttarakhand,2W,BrandP,13154
2025-01-02,West Bengal,2W,BrandM,9037
2025-01-02,Delhi,2W,BrandQ,9829
2025-01-02,Jammu and Kashmir,4W,BrandG,15913
2025-01-02,Ladakh,4W,BrandN,15023
2025-01-02,Puducherry,3W,BrandS,12940
2025-01-03,Andhra Pradesh,4W,BrandN,8826
2025-01-03,Arunachal Pradesh,4W,BrandL,16184
2025-01-03,Assam,2W,BrandQ,14972
2025-01-03,Bihar,2W,BrandM,5924
2025-01-03,Chhattisgarh,3W,BrandI,8001
2025-01-03,Goa,4W,BrandI,11261
2025-01-03,Gujarat,3W,BrandB,18439
2025-01-03,Haryana,2W,BrandX,11118
2025-01-03,Himachal Pradesh,2W,BrandS,17894
2025-01-03,Jharkhand,4W,BrandJ,5404
2025-01-03,Karnataka,3W,BrandV,5500
2025-01-03,Kerala,2W,BrandY,17497
2025-01-03,Madhya Pradesh,3W,BrandB,19306
2025-01-03,Maharashtra,2W,BrandT,15740
2025-01-03,Manipur,4W,BrandS,13726
2025-01-03,Meghalaya,3W,BrandN,18265
2025-01-03,Mizoram,2W,BrandU,3018
2025-01-03,Nagaland,3W,BrandO,8999
2025-01-03,Odisha,2W,BrandV,6793
2025-01-03,Punjab,4W,BrandP,4086
2025-01-03,Rajasthan,3W,BrandX,14069
2025-01-03,Sikkim,2W,BrandB,19086
2025-01-03,Tamil Nadu,4W,BrandR,6679
2025-01-03,Telangana,4W,BrandW,3029
2025-01-03,Tripura,4W,BrandZ,11650
2025-01-03,Uttar Pradesh,3W,BrandI,8317
2025-01-03,Uttarakhand,4W,BrandY,17422
2025-01-03,West Bengal,2W,BrandY,8599
2025-01-03,Delhi,4W,BrandC,8460
2025-01-03,Jammu and Kashmir,2W,BrandN,9208
2025-01-03,Ladakh,3W,BrandQ,18332
2025-01-03,Puducherry,3W,BrandA,14847
2025-01-04,Andhra Pradesh,2W,BrandR,13927
2025-01-04,Arunachal Pradesh,3W,BrandL,4479
2025-01-04,Assam,4W,BrandZ,8348
2025-01-04,Bihar,3W,BrandA,19575
2025-01-04,Chhattisgarh,2W,BrandJ,8447
2025-01-04,Goa,3W,BrandK,11983
2025-01-04,Gujarat,3W,BrandD,13954
2025-01-04,Haryana,4W,BrandK,17904
2025-01-04,Himachal Pradesh,4W,BrandM,9264
2025-01-04,Jharkhand,3W,BrandH,10126
2025-01-04,Karnataka,4W,BrandI,15955
2025-01-04,Kerala,3W,BrandV,11098
2025-01-04,Madhya Pradesh,3W,BrandX,9091
2025-01-04,Maharashtra,4W,BrandI,9370
2025-01-04,Manipur,4W,BrandJ,14435
2025-01-04,Meghalaya,3W,BrandY,4883
2025-01-04,Mizoram,2W,BrandC,4001
2025-01-04,Nagaland,2W,BrandO,18059
2025-01-04,Odisha,4W,BrandD,7308
2025-01-04,Punjab,3W,BrandS,9283
2025-01-04,Rajasthan,2W,BrandT,11812
2025-01-04,Sikkim,3W,BrandN,7051
2025-01-04,Tamil Nadu,4W,BrandG,17145
2025-01-04,Telangana,2W,BrandV,17053
2025-01-04,Tripura,4W,BrandE,16868
2025-01-04,Uttar Pradesh,2W,BrandH,12024
2025-01-04,Uttarakhand,4W,BrandC,10978
2025-01-04,West Bengal,2W,BrandJ,16057
2025-01-04,Delhi,3W,BrandO,17320
2025-01-04,Jammu and Kashmir,2W,BrandR,13490
2025-01-04,Ladakh,3W,BrandO,14324
2025-01-04,Puducherry,2W,BrandM,10419
